time,true_A,true_B,obs_A,obs_B
0.0,100.0,150.00000000000003,107.51664908749781,145.44726335022187
0.1,99.80582461403776,147.08999958601,97.71749780481169,160.83793094957338
0.1216207127805685,99.7638425115483,146.4608367545879,109.54240687144834,146.3610787110734
0.1479159777725354,99.71278357926036,145.69564443446188,122.69536881869351,137.91819218725493
0.17989646648330476,99.64974848118783,144.7869503742784,96.1185585466699,150.79818110424517
0.21879136480405179,99.57277269911067,143.689097316549,96.04450988916685,134.83344454340315
0.26609561737702164,99.47915420428002,142.35388060245526,123.25468947384292,143.8551082080855
0.32362738653178796,99.36526989684886,140.730494743382,110.90624258982406,126.80267367337068
0.39359793425308603,99.22592959846413,138.7733829968014,92.1755220636724,129.4623223293277
0.47869661312819667,99.05480201702066,136.42753164255132,107.18898245896432,137.78474929103206
0.5821942329429532,98.84421867055572,133.62537641423876,91.91106498989281,138.6142280144082
0.7080687758725831,98.58447175983328,130.29264364293087,91.63471001565256,131.42212095314582
0.8611582921928814,98.26319053215084,126.35068426728046,101.86227036630659,125.61097595208568
1.047346853133953,97.86449525787643,121.72112591611841,69.5186923268874,119.8640194432862
1.2737907080663677,97.36778651655007,116.32754414308442,71.93996239358809,107.60172824935296
1.5491933384829666,96.74589067944554,110.07715942245822,88.50891063437875,106.05037559118254
1.8841399806120698,95.9631604299563,102.92601861314209,81.24393683920363,100.51109318829882
2.291504474204064,94.97208104372105,94.86227036319599,99.49269209502468,99.98654709647286
2.7869440749256,93.70855081581266,85.89204441702078,80.81655682904407,87.40722606929889
3.389501248720337,92.08646925234628,76.16932561195259,72.37493121643556,69.22724101126612
4.122335578399943,89.98904091655109,65.83363575752806,109.98887063334813,66.94855851755257
5.013613913656983,87.25812995121132,55.093256199715455,84.26870697718947,53.96475043893494
6.097592977855378,83.68446810448245,44.352951606081504,84.54281913696447,42.706212986294645
7.4159360421256,78.99548212134775,34.07397839778135,61.87439281319632,35.28234332101698
9.01931427378424,72.86700102658018,24.73295041407623,66.81807856417738,26.37262772202326
10.969354307695939,64.96406304776133,16.751484233664,66.06749147447546,17.966271437522717
13.3410068964458,55.0383697677239,10.425935424760384,45.26118923974565,9.47953381143759
16.225427679562184,43.14720610309477,5.857168319492926,45.692205426535246,5.534968719420321
19.73348079557919,30.00577044293112,2.904671259734641,27.047492827815685,3.239410094918007
24.0,17.353103848813365,1.2375078193355802,16.39559141031107,2.214918630921362
